40"DSR_BRANCH_CODE"DSR_CNNO"DSR_BOOKED_BY"DSR_CUST_CODE"DSR_CN_WEIGHT"DSR_CN_TYPE"DSR_DEST"DSR_MODE"DSR_NO_OF_PIECES"DSR_DEST_PIN"DSR_BOOKING_DATE"DSR_AMT"DSR_STATUS"DSR_POD_RECD"DSR_TRANSMF_NO"DSR_BOOKING_TIME"DSR_DOX"DSR_SERVICE_TAX"DSR_SPL_DISC"DSR_CONTENTS"DSR_REMARKS"DSR_VALUE"DSR_INVNO"DSR_INVDATE"MOD_DATE"OFFICE_TYPE"OFFICE_CODE"DSR_REFNO"MOD_TIME"NODEID"USERID"TRANS_STATUS"DSR_ACT_CUST_CODE"DSR_MOBILE"DSR_EMAIL"DSR_NDX_PAPER"DSR_PICKUP_TIME"DSR_VOL_WEIGHT"DSR_CAPTURED_WEIGHT"DSR_ID_NUM
3"DSR_BOOKING_DATE"DSR_BRANCH_CODE"DSR_CNNO
'P15'"'P45194554'"'F'"'PF1538'"0.1"'AR1'"'AGR'"'AR'"'1'"'282007'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194557'"'F'"'PF1538'"0.02"'AR1'"'GOK'"'AR'"'1'"'273014'"'24-05-2018'"16"''"NULL "'3627803493'"'17:10:13'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194558'"'F'"'PF1538'"0.1"'AR1'"'SBS'"'AR'"'1'"'700146'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194559'"'F'"'PF1538'"0.1"'AR1'"'MRT'"'AR'"'1'"'250004'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194560'"'F'"'PF1538'"0.1"'AR1'"'HPR'"'AR'"'1'"'245101'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194561'"'F'"'PF1538'"0.02"'AR1'"'WRG'"'AR'"'1'"'506001'"'24-05-2018'"16"''"NULL "'3627803491'"'17:08:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194562'"'F'"'PF1538'"0.1"'AR1'"'RJH'"'AR'"'1'"'700135'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194563'"'F'"'PF1538'"0.1"'AR1'"'JDH'"'AR'"'1'"'342011'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194565'"'F'"'PF1538'"0.1"'AR1'"'BTL'"'AR'"'1'"'143505'"'24-05-2018'"16"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194566'"'F'"'PF1538'"0.1"'AR1'"'GZB'"'AR'"'1'"'201014'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194568'"'F'"'PF1538'"0.02"'AR1'"'CHP'"'AR'"'1'"'522616'"'24-05-2018'"16"''"NULL "'3627803493'"'17:10:13'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194569'"'F'"'PF1538'"0.02"'AR1'"'CCU'"'AR'"'1'"'700034'"'24-05-2018'"12"''"NULL "'3627803491'"'17:08:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194572'"'F'"'PF1538'"0.1"'AR1'"'VTZ'"'AR'"'1'"'530003'"'24-05-2018'"16"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194573'"'F'"'PF1538'"0.1"'AR1'"'HYD'"'AR'"'1'"'500056'"'24-05-2018'"12"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194574'"'F'"'PF1538'"0.1"'AR1'"'REN'"'AR'"'1'"'517520'"'24-05-2018'"16"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194575'"'F'"'PF1538'"0.1"'AR1'"'ETA'"'AR'"'1'"'206001'"'24-05-2018'"16"''"NULL "'3627803501'"'17:06:59'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194576'"'F'"'PF1538'"0.02"'AR1'"'VIZ'"'AR'"'1'"'535002'"'24-05-2018'"16"''"NULL "'3627803493'"'17:10:13'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194577'"'F'"'PF1538'"0.1"'AR1'"'YLM'"'AR'"'1'"'531055'"'24-05-2018'"16"''"NULL "'3627803497'"'17:02:18'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194578'"'F'"'PF1538'"0.02"'AR1'"'PDG'"'AR'"'1'"'522413'"'24-05-2018'"16"''"NULL "'3627803491'"'17:08:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194579'"'F'"'PF1538'"0.1"'AR1'"'GWL'"'AR'"'1'"'474006'"'24-05-2018'"10.5"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194580'"'F'"'PF1538'"0.02"'AR1'"'VJA'"'AR'"'1'"'520010'"'24-05-2018'"16"''"NULL "'3627803493'"'17:10:13'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194582'"'F'"'PF1538'"0.02"'AR1'"'WRG'"'AR'"'1'"'506002'"'24-05-2018'"16"''"NULL "'3627803491'"'17:08:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194583'"'F'"'PF1538'"0.1"'AR1'"'KTB'"'AR'"'1'"'532195'"'24-05-2018'"16"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194584'"'F'"'PF1538'"0.02"'AR1'"'MLD'"'AR'"'1'"'732102'"'24-05-2018'"16"''"NULL "'3627803491'"'17:08:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'ppn1230'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.02'"NULL 
'P15'"'P45194585'"'F'"'PF1538'"0.1"'AR1'"'VTZ'"'AR'"'1'"'530017'"'24-05-2018'"16"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
'P15'"'P45194586'"'F'"'PF1538'"0.1"'AR1'"'SPT'"'AR'"'1'"'508213'"'24-05-2018'"16"''"NULL "'3627803501'"'17:07:00'"'D'"NULL "NULL "''"NULL "0"NULL "NULL "'24-05-2018'"'MF'"'P15'"NULL "'0520'"'8C-DC-D4-6'"'POS0073'"'A'"'PF1538'"NULL "NULL "'N'"NULL "NULL "'0.1'"NULL 
